:START_ID,:END_ID,name,:TYPE
e50268,e15691,职业,职业
e41307,e41307,中文名,中文名
e41307,e44220,国籍,国籍
e41307,e31582,民族,民族
e41307,e17865,出生地,出生地
e41307,e18860,出生日期,出生日期
e41307,e8735,逝世日期,逝世日期
e16164,e16164,中文名,中文名
e16164,e31769,逝世日期,逝世日期
e16164,e2215,职业,职业
e16164,e26253,参加革命时间,参加革命时间
e7065,e7065,中文名,中文名
e7065,e44220,国籍,国籍
e7065,e13590,民族,民族
e7065,e47229,性别,性别
e1936,e1936,中文名,中文名
e1936,e22585,出生地,出生地
e1936,e31200,出生日期,出生日期
e1936,e28731,逝世日期,逝世日期
e2343,e2343,中文名,中文名
e2343,e9354,外文名,外文名
e2343,e22120,现状,现状
e49230,e48033,人物,人物
e14397,e14397,中文名,中文名
e14397,e30484,外文名,外文名
e14397,e8158,民族,民族
e14397,e32767,出生日期,出生日期
e14397,e14927,逝世日期,逝世日期
e14397,e35592,毕业院校,毕业院校
e14397,e33178,职业,职业
e14397,e5247,出生地,出生地
e14397,e30871,信仰,信仰
e14397,e50766,代表作品,代表作品
e14397,e6470,军衔,军衔
e8402,e8402,中文名,中文名
e8402,e43657,性别,性别
e8402,e19564,年龄,年龄
e8402,e8801,身高,身高
e2609,e2609,中文名,中文名
e2609,e38494,出生日期,出生日期
e2609,e12220,逝世日期,逝世日期
e2609,e9172,籍\u3000贯,籍\u3000贯
e14397,e32629,别名,别名
e16219,e16219,中文名,中文名
e16219,e30344,外文名,外文名
e16219,e28978,逝世日期,逝世日期
e16219,e8101,出生日期,出生日期
e19942,e19942,中文名,中文名
e19942,e8459,时代,时代
e19942,e20742,制造商,制造商
e19942,e26299,车载主武器,车载主武器
e19942,e23595,乘员,乘员
e5261,e5261,中文名,中文名
e5261,e41036,职务,职务
e5261,e17524,参加革命时间,参加革命时间
e19942,e19942,中文名,中文名
e19942,e8459,时代,时代
e19942,e23595,乘员,乘员
e19942,e26299,车载主武器,车载主武器
e19942,e20742,制造商,制造商
e48499,e48499,中文名,中文名
e48499,e44220,国籍,国籍
e48499,e43545,别名,别名
e48499,e31582,民族,民族
e48499,e25294,出生日期,出生日期
e48499,e43545,外文名,外文名
e48499,e5376,逝世日期,逝世日期
e48499,e15081,职业,职业
e48499,e24357,主要成就,主要成就
e39288,e27406,前型/级,前型/级
e39288,e34127,服役时间,服役时间
e39288,e39288,中文名称,中文名称
e39288,e44583,国家,国家
e39288,e36530,退役时间,退役时间
e39288,e47363,满载排水量,满载排水量
e48499,e39990,出生地,出生地
e6636,e6636,中文名,中文名
e6636,e44220,国籍,国籍
e6636,e43657,性别,性别
e6636,e13590,民族,民族
e41338,e41338,中文名,中文名
e41338,e44220,国籍,国籍
e41338,e43126,籍贯,籍贯
e41338,e19334,出生日期,出生日期
e33449,e33449,中文名,中文名
e33449,e13224,出生日期,出生日期
e33449,e24492,逝世日期,逝世日期
e52004,e23486,外文名,外文名
e52004,e51795,应用的武器,应用的武器
e52004,e52004,中文名,中文名
e52004,e27322,外形,外形
e9097,e9097,中文名,中文名
e9097,e52374,问世时间,问世时间
e9097,e8023,口径,口径
e9097,e21325,有效射程,有效射程
e6909,e6909,中文名,中文名
e6909,e31582,民族,民族
e6909,e11911,出生日期,出生日期
e6909,e29705,出生地,出生地
e48352,e48352,中文名,中文名
e48352,e37889,外文名,外文名
e48352,e4719,对象,对象
e48352,e52151,性质,性质
e20034,e20034,中文名,中文名
e20034,e44220,国籍,国籍
e20034,e51692,出生地,出生地
e20034,e36850,出生日期,出生日期
e20034,e51317,逝世日期,逝世日期
e20034,e31582,民族,民族
e37622,e37622,中文名,中文名
e37622,e25630,划分因素,划分因素
e37622,e18455,定义,定义
e37622,e1224,分类,分类
e29477,e29477,中文名,中文名
e29477,e13162,别名,别名
e29477,e15898,出生地,出生地
e29477,e3350,国籍,国籍
e29477,e17828,逝世日期,逝世日期
e29477,e5575,出生日期,出生日期
e5141,e5141,中文名,中文名
e5141,e36851,生产厂家,生产厂家
